sent_id, decision
"library#02", "digital materials"
"library#03", "material"
"library#07", "AIPs"
"library#11", "media types"
"library#12-a", "the requested AIP(s)"
"library#12-b", "the requested AIP(s)"
"library#18", "record"
"library#19", "archive Consumers"
"weather#07", "CS"
"weather#08", "environmental data"
"weather#12", "new environmental data services"
"weather#13", "DOG"
"railway#14", "equipped train"
"railway#15", "driver"
"railway#16", "the train"
"railway#18", "train"
"railway#19", "the driver"
"railway#20", "ETCS trainbome equipment"
"railway#22", "the train"
"railway#23", "the only one mobile user"
"railway#34-a", "to be used"
"railway#35", "the cab radio"
"railway#36", "the MMI"
"railway#38", "non leading drivers"
"railway#39", "each type of equipment"
"railway#41", "the user"
"railway#43-b", "stored numbers"
"home#03", "users"
"space#01", "NEFU ICP"
"space#02-a", "each rate group"
"space#02-b", "each rate group"
"space#10", "tasks"
