sent_id, sent
"library#01", "All material that is stored in the repository will enter it via the Ingest function."
"library#02", "The library may want to accept important digital materials in non-standard formats in case we are able to migrate them to a more usable format in the future."
"library#03", "Once material has arrived, it must undergo several reviews, including virus checking, format compliance and anticipated content and file type."
"library#04", "Allows resources to be reviewed before a decision is made whether they should be retained."
"library#05", "Allows metadata to be stored in a database in a manner that conforms to repository reformatting and linked to their corresponding objects via an identifier."
"library#06", "The Coordinate Updates function also incorporates the storage identification information into the Descriptive Information for the AIP and transfers it to the Data Management entity along with a database update request."
"library#07", "Archival Storage functions include receiving AIPs from Ingest and adding them to permanent storage, managing the storage hierarchy, refreshing the media on which archive holdings are stored, performing routine and special error checking, providing disaster recovery capabilities, and providing AIPs to Access to fulfill orders."
"library#08", "It will also conform to any special levels of service required for the AIP, or any special security measures that are required, and ensures the appropriate level of protection for the AIP."
"library#09", "It monitors error logs to ensure AIPs are not corrupted during transfers."
"library#10", "However, the data constituting the Packaging Information may be changed as long as it continues to perform the same function and there is a straightforward implementation that does not cause information loss."
"library#11", "The migration strategy must select a storage medium, taking into consideration the expected and actual rates of errors encountered in various media types, their performance, and their costs of ownership."
"library#12", "This function receives an AIP request that identifies the requested AIP(s) and provides them on the requested media type or transfers them to a staging area."
"library#13", "The Generate Report function receives a report request from Ingest, Access or Administration and executes any queries or other processes necessary to generate the report that it supplies to the requester."
"library#14", "It may also receive a report request from Access and provides descriptive information for a specific AIP."
"library#15", "Administration functions include soliciting and negotiating submission agreements with producers, auditing submissions to ensure that they meet archive standards, and maintaining configuration management of system hardware and software."
"library#16", "Audits data in SIPs or AIPs to ensure that they meet specified requirements."
"library#17", "The Activate Requests function maintains a record of event-driven requests and periodically compares it to the contents of the archive to determine if all needed data is available."
"library#18", "Maintains a record of event-driven events and compares it to the contents of the repository."
"library#19", "The Monitor Designated Community function interacts with archive Consumers and Producers to track changes in their service requirements and available product technologies."
"library#20", "Interacts with repository users and content providers to track changes in their service requirements and available product technologies."
"library#21", "This function receives reports from the Monitor Designated Communities and Monitor Technology functions, and it receives performance information, inventory reports and summarized consumer comments from Administration."
"library#22", "This function also receives external data standards from Monitor Technology and produces profiles of those standards that are sent to Administration as proposals on their potential usage."
"library#23", "Produces profiles of those standards that are sent to Administration as proposals on their potential usage."
"library#24", "NLM will test preservation actions in order to determine their effectiveness across a range of digital objects."
"library#25", "NLM System Administration/Programming Access, ultimate rights to the system, required for its management, development, and for assigning appropriate rights to users."
"weather#01", "The Clarus system shall process data as they are received."
"weather#02", "The Clarus system shall be able to base its quality control process on values from multiple observations."
"weather#03", "The Clarus system shall be able to communicate with RWIS databases through their native interfaces."
"weather#04", "The Clarus system shall be able to collect data from sources within 5 minutes of them becoming available."
"weather#05", "The CAS shall be configurable to allow new observation types to be implemented as they become available."
"weather#06", "CS shall collect environmental data based on its configured schedule."
"weather#07", "CS shall be able to dynamically adjust its retrieval schedules when environmental data is expected to be ready but is temporarily delayed."
"weather#08", "CS shall process environmental data as they are received."
"weather#09", "The Clarus system shall be able to communicate with environmental sensor stations through its collector using the NTCIP ESS 1204."
"weather#10", "CS shall be able to accept data from an RWIS database in its native output format."
"weather#11", "The Clarus system shall be able to communicate with an individual ESS through its native interface."
"weather#12", "The DOG shall be able to monitor new environmental data services as they are added."
"weather#13", "The DOG shall be able to record its activities."
"weather#14", "The QEDC shall maintain observations and their associated quality flags for seven days."
"weather#15", "The QEDC shall support queries for its observations."
"weather#16", "QEDS shall log their activities."
"weather#17", "QChS shall be able to base its quality checking process on values distributed in time."
"weather#18", "The contributors shall define the units of measurements of their shared data and information."
"weather#19", "The Clarus program shall determine how it will provide data and information to contributors."
"weather#20", "The Clarus program shall inform contributors of the acceptance and use of their data and information."
"railway#01", "The logon screen shall activate command control for the user if the user requests it and has authorization."
"railway#02", "When a device status has been overridden, on the screen it shall appear with different color from the normal and alarm status colors."
"railway#03", "It shall display and allow modification of all database tables with the exception of log tables."
"railway#04", "The user should not be able to update log entries other than for their own login, for the current day and current shift."
"railway#05", "Any change in device state shall be reported on the screen not later than 2 seconds from the time it occurs."
"railway#06", "When each workstation and control unit (workstation or intelligent controller at the FCU or DCU) comes online, the system shall identify it and all its associated device sensors."
"railway#07", "The RLCS software shall initialize each control unit and device sensor as it is identified."
"railway#08", "The devices can be manually controlled/operated from their cabinets (e."g.": Gates)."
"railway#09", "The normal operating mode is Monday through Friday, between 5:00am and 8:00pm, but the system must be functional in order to stay in its closed state after hours."
"railway#10", "ETCS shall provide the driver with information to allow him to drive the train safely."
"railway#11", "If the supervision is performed by a RBC it shall be possible to prevent movements of a traction unit in its area if not authorised by the RBC."
"railway#12", "It shall be possible to implement one or more of the ETCS application levels on a line."
"railway#13", "ETCS shall be compatible with existing national systems listed in the CCS TSI such that it does not interfere with the national systems and is not interfered with by the national systems."
"railway#14", "If an ETCS equipped train passes a level transition to a line fitted with more than one level, the onboard shall switch to the highest level, according to the priority given by trackside, for which it is equipped."
"railway#15", "On request of the RBC, the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear."
"railway#16", "The braking curves shall ensure that the train complies with its speed requirements."
"railway#17", "If the release speed is calculated on board it shall ensure that the train will stop before reaching the danger point."
"railway#18", "A train shall be supervised to its static and dynamic train speed profiles."
"railway#19", "Within the braking curve area, a warning shall be given to the driver to enable him to react and avoid intervention from ETCS equipment at least 5 sec before the intervention."
"railway#20", "The ETCS trainborne equipment shall transmit its own train identification to the RBC."
"railway#21", "If a train cannot stop at the proposed new target location it shall reject the request and keep the old target location."
"railway#22", "The train may proceed unrestricted to the end of its movement authority."
"railway#23", "It is acceptable that only one mobile user involved in the group call may talk at any time."
"railway#24", "If the text message facility is implemented, it shall not interfere with the ability of users to make or receive high priority voice or data calls."
"railway#25", "Where fax functionality is provided, it shall be possible to interrupt the fax to make or receive a high priority voice or data call."
"railway#26", "The network shall provide the ability to inform a user, who is involved in an existing call, of attempts by other users to contact them."
"railway#27", "Where network services are chargeable, it should be possible for the network to provide information about call rates and on-going call charges."
"railway#28", "Picking up the handset shall transfer the communication to the handset and reduce the loudspeaker volume to its minimum level."
"railway#29", "An indication shall be provided to the driver as a reminder of the need to use the Push-To-Talk button on the handset if he wants to talk."
"railway#30", "It shall be possible for a driver to initiate railway emergency calls (see section 13)."
"railway#31", "If the train moves out of the call area whilst the call is in progress, it will leave the call and an audible and visual indication of the loss of call shall be provided to the driver."
"railway#32", "Once the driver has accepted the standard point-to-point call, it shall be connected appropriately, eg if the driver has accepted the call by lifting the handset, then the call shall be routed to the handset."
"railway#33", "In this case, the security device alerts the driver if the link has failed or if it is cancelled."
"railway#34", "It should be possible for the Cab radio to be used without the network service (if it should fail or if there is no authorised network coverage) such that local open channel communications are still possible."
"railway#35", "Where the Cab radio is required by a national railway to support a handheld portable, the Cab radio shall: - provide a clear indication as to whether the handheld portable is activated or not; - provide an interface to allow the handheld portable to be recharged when not in use; - forward calls automatically to the handheld portable when the handheld portable is activated; - cancel any call forwarding to the handheld portable when it is deactivated; - allow the driver to override the call forwarding to the handheld portable."
"railway#36", "When the MMI is switched on, the configuration shall be determined by the time elapsed since the MMI was last switched off: - less than t minutes – the MMI shall power up with the same configuration as when it was last powered down; - greater than t minutes – the MMI shall power up with default settings."
"railway#37", "If directed network selection is implemented, input from the external device(s) shall initiate the network change regardless of the identity of the current network and how it was selected."
"railway#38", "Non leading drivers shall be able to indicate to the system their location in the train during the registration procedure (2nd driver, 3rd driver etc)."
"railway#39", "Each type of equipment has slightly different requirements placed upon it in terms of EMC and climate."
"railway#40", "The design of the equipment shall make it possible to install it within a cab complying with the requirements of UIC fiche 651 concerning the layout of cab equipment5."
"railway#41", "If the call is a broadcast call, the user shall be informed that he cannot speak as part of the broadcast call."
"railway#42", "Where a change of functional number is required, it shall be possible for the user to initiate the change."
